Time(ms),C1_Sign, C1_CPM, C1_uSv, C2_Sign, C2_CPM, C2_uSv, MuonCount, MuonCPM
3270227,0,0,0.0,0,0,0.0,2,8
3285228,0,0,0.0,0,0,0.0,0,0
3300229,0,0,0.0,0,0,0.0,0,0
3315230,0,0,0.0,0,0,0.0,3,12
3330231,0,0,0.0,0,0,0.0,0,0
3345232,0,0,0.0,0,0,0.0,0,0
3360233,39,156,2.94,0,0,0.0,4,16
3375234,0,0,0.0,37,148,2.79,1,4
3390235,0,0,0.0,0,0,0.0,1,4
3405236,0,0,0.0,0,0,0.0,1,4
3420237,0,0,0.0,0,0,0.0,0,0
3435238,0,0,0.0,0,0,0.0,3,12
3450240,0,0,0.0,0,0,0.0,0,0
3465241,0,0,0.0,0,0,0.0,1,4
3480242,0,0,0.0,0,0,0.0,2,8
3495243,0,0,0.0,0,0,0.0,0,0
3510244,0,0,0.0,0,0,0.0,2,8
3525245,0,0,0.0,0,0,0.0,0,0
3540246,0,0,0.0,0,0,0.0,0,0
3555247,0,0,0.0,31,124,2.34,2,8
3570248,0,0,0.0,0,0,0.0,0,0
3585249,0,0,0.0,0,0,0.0,0,0
3600250,0,0,0.0,31,124,2.34,2,8
3615251,0,0,0.0,0,0,0.0,0,0
3630252,0,0,0.0,0,0,0.0,0,0
3645253,0,0,0.0,0,0,0.0,2,8
3660254,0,0,0.0,0,0,0.0,1,4
3675255,0,0,0.0,0,0,0.0,4,16
3690256,0,0,0.0,0,0,0.0,0,0
3705257,0,0,0.0,0,0,0.0,0,0
3720258,0,0,0.0,25,100,1.89,1,4
3735259,0,0,0.0,0,0,0.0,0,0
3750260,0,0,0.0,0,0,0.0,0,0
3765261,0,0,0.0,0,0,0.0,2,8
3780262,41,164,3.09,37,148,2.79,11,44
3795263,0,0,0.0,0,0,0.0,1,4
3810264,0,0,0.0,0,0,0.0,4,16
3825265,0,0,0.0,0,0,0.0,0,0
3840266,0,0,0.0,34,136,2.56,2,8
3855267,0,0,0.0,0,0,0.0,0,0
3870268,0,0,0.0,0,0,0.0,0,0
3885270,0,0,0.0,0,0,0.0,4,16
3900271,0,0,0.0,0,0,0.0,2,8
3915272,0,0,0.0,0,0,0.0,0,0
3930273,0,0,0.0,0,0,0.0,1,4
3945274,0,0,0.0,0,0,0.0,1,4
3960275,0,0,0.0,0,0,0.0,0,0
3975276,0,0,0.0,0,0,0.0,0,0
3990277,0,0,0.0,0,0,0.0,1,4
4005278,0,0,0.0,0,0,0.0,0,0
4020279,0,0,0.0,0,0,0.0,2,8
4035280,0,0,0.0,0,0,0.0,0,0
4050281,0,0,0.0,0,0,0.0,3,12
4065282,0,0,0.0,0,0,0.0,0,0
4080283,32,128,2.41,0,0,0.0,1,4
4095284,0,0,0.0,0,0,0.0,2,8
4110285,0,0,0.0,0,0,0.0,1,4
4125286,0,0,0.0,0,0,0.0,2,8
4140288,0,0,0.0,0,0,0.0,2,8
4155289,0,0,0.0,0,0,0.0,1,4
4170290,0,0,0.0,0,0,0.0,0,0
4185291,0,0,0.0,0,0,0.0,0,0
4200292,0,0,0.0,0,0,0.0,1,4
4215293,0,0,0.0,0,0,0.0,0,0
4230294,0,0,0.0,0,0,0.0,0,0
4245295,0,0,0.0,0,0,0.0,3,12
4260296,36,144,2.72,0,0,0.0,3,12
4275297,0,0,0.0,0,0,0.0,0,0
4290298,0,0,0.0,0,0,0.0,0,0
4305299,0,0,0.0,0,0,0.0,0,0
4320300,42,168,3.17,0,0,0.0,0,0
4335301,0,0,0.0,0,0,0.0,0,0
4350302,31,124,2.34,0,0,0.0,3,12
4365303,0,0,0.0,0,0,0.0,2,8
4380304,0,0,0.0,28,112,2.11,2,8
4395305,0,0,0.0,0,0,0.0,1,4
4410306,0,0,0.0,0,0,0.0,0,0
4425307,0,0,0.0,0,0,0.0,0,0
4440308,0,0,0.0,0,0,0.0,3,12
4455309,0,0,0.0,0,0,0.0,0,0
4470310,0,0,0.0,0,0,0.0,0,0
4485311,0,0,0.0,0,0,0.0,0,0
4500312,0,0,0.0,0,0,0.0,2,8
4515313,0,0,0.0,27,108,2.04,2,8
4530314,0,0,0.0,0,0,0.0,2,8
4545315,0,0,0.0,0,0,0.0,0,0
4560316,0,0,0.0,0,0,0.0,0,0
4575318,0,0,0.0,0,0,0.0,1,4
4590319,0,0,0.0,0,0,0.0,0,0
4605320,0,0,0.0,0,0,0.0,2,8
4620321,0,0,0.0,0,0,0.0,1,4
4635322,0,0,0.0,0,0,0.0,1,4
4650323,0,0,0.0,0,0,0.0,0,0
4665324,0,0,0.0,0,0,0.0,0,0
4680325,32,128,2.41,0,0,0.0,0,0
4695326,0,0,0.0,0,0,0.0,2,8
4710327,0,0,0.0,0,0,0.0,2,8
4725328,0,0,0.0,0,0,0.0,0,0
4740329,0,0,0.0,30,120,2.26,4,16
4755330,0,0,0.0,0,0,0.0,0,0
4770331,0,0,0.0,27,108,2.04,1,4
4785332,0,0,0.0,0,0,0.0,0,0
4800333,0,0,0.0,0,0,0.0,4,16
4815334,0,0,0.0,0,0,0.0,0,0
4830336,0,0,0.0,0,0,0.0,1,4
4845337,0,0,0.0,0,0,0.0,0,0
4860338,0,0,0.0,0,0,0.0,1,4
4875339,0,0,0.0,0,0,0.0,2,8
4890340,0,0,0.0,0,0,0.0,0,0
4905341,0,0,0.0,0,0,0.0,1,4
4920342,0,0,0.0,0,0,0.0,1,4
4935343,0,0,0.0,0,0,0.0,0,0
4950344,0,0,0.0,0,0,0.0,0,0
4965345,0,0,0.0,0,0,0.0,0,0
4980346,0,0,0.0,0,0,0.0,0,0
4995347,0,0,0.0,0,0,0.0,0,0
5010348,0,0,0.0,28,112,2.11,0,0
5025349,0,0,0.0,0,0,0.0,1,4
5040350,0,0,0.0,0,0,0.0,0,0
5055351,24,96,1.81,0,0,0.0,3,12
5070352,0,0,0.0,0,0,0.0,1,4
5085353,0,0,0.0,0,0,0.0,0,0
5100354,0,0,0.0,0,0,0.0,0,0
5115355,0,0,0.0,0,0,0.0,0,0
5130356,0,0,0.0,0,0,0.0,1,4
5145357,0,0,0.0,17,68,1.28,1,4
5160358,0,0,0.0,0,0,0.0,0,0
5175359,0,0,0.0,23,92,1.73,0,0
5190360,0,0,0.0,0,0,0.0,1,4
5205361,0,0,0.0,0,0,0.0,1,4
5220362,0,0,0.0,0,0,0.0,0,0
5235363,0,0,0.0,0,0,0.0,0,0
5250364,0,0,0.0,0,0,0.0,0,0
5265366,0,0,0.0,0,0,0.0,0,0
5280367,0,0,0.0,0,0,0.0,0,0
5295368,0,0,0.0,0,0,0.0,0,0
5310369,0,0,0.0,0,0,0.0,0,0
5325370,0,0,0.0,0,0,0.0,0,0
5340371,0,0,0.0,0,0,0.0,0,0
5355372,0,0,0.0,0,0,0.0,5,20
5370373,0,0,0.0,0,0,0.0,0,0
5385374,0,0,0.0,0,0,0.0,1,4
5400375,0,0,0.0,0,0,0.0,1,4
5415376,0,0,0.0,0,0,0.0,3,12
5430377,0,0,0.0,0,0,0.0,0,0
5445378,0,0,0.0,0,0,0.0,0,0
5460379,40,160,3.02,0,0,0.0,0,0
5475380,23,92,1.73,0,0,0.0,0,0
5490381,0,0,0.0,0,0,0.0,0,0
5505382,0,0,0.0,0,0,0.0,0,0
5520384,0,0,0.0,0,0,0.0,0,0
5535385,0,0,0.0,0,0,0.0,0,0
5550386,0,0,0.0,0,0,0.0,2,8
5565387,0,0,0.0,0,0,0.0,0,0
5580388,0,0,0.0,0,0,0.0,0,0
5595389,0,0,0.0,0,0,0.0,1,4
5610390,0,0,0.0,0,0,0.0,0,0
5625391,0,0,0.0,0,0,0.0,1,4
5640392,0,0,0.0,0,0,0.0,1,4
5655393,28,112,2.11,0,0,0.0,5,20
